,Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent,gender,genre
0,Aaliyah,11.85,1.5,1.0,0.0,32.15,0.3,1.4,1.05,13.8,118.75,478.75,0.5,1.3,2.8,2.475,0.313,0.209,0.0,6.715,0.063,0.292,0.219,2.883,female,pop
1,Beyoncé,9.6,1.35,0.4,0.0,47.85,2.65,0.45,0.8,8.75,151.35,496.1,0.3,2.85,6.35,1.935,0.272,0.081,0.0,9.645,0.534,0.091,0.161,1.764,female,pop
2,Britney Spears,7.65,0.0,0.95,0.0,37.75,0.9,0.95,0.35,9.65,110.9,408.1,0.1,1.55,3.3,1.875,0.0,0.233,0.0,9.25,0.221,0.233,0.086,2.365,female,pop
3,Carly Rae Jepsen,9.85,0.65,1.5,0.0,39.95,0.45,0.15,0.75,9.5,98.15,413.8,0.0,1.45,4.1,2.38,0.157,0.362,0.0,9.654,0.109,0.036,0.181,2.296,female,pop
4,Charli XCX,10.1,0.9,0.15,0.05,34.7,1.15,0.8,0.4,8.15,132.35,551.15,0.95,1.85,5.2,1.833,0.163,0.027,0.009,6.296,0.209,0.145,0.073,1.479,female,pop
5,Dua Lipa,6.65,0.6,0.2,0.25,33.45,1.35,0.2,0.95,12.5,100.6,387.35,0.05,2.1,4.2,1.717,0.155,0.052,0.065,8.636,0.349,0.052,0.245,3.227,female,pop
6,Madonna,5.4,0.25,0.4,0.0,34.65,2.9,0.65,0.8,8.5,115.1,408.5,0.3,2.0,2.9,1.322,0.061,0.098,0.0,8.482,0.71,0.159,0.196,2.081,female,pop
7,Michael Jackson,8.95,0.75,0.75,0.0,57.7,0.5,0.55,1.0,19.2,131.5,538.3,0.0,1.75,1.6,1.663,0.139,0.139,0.0,10.719,0.093,0.102,0.186,3.567,male,pop
8,Olivia Rodrigo,3.3,0.2,0.9,0.15,34.2,1.2,1.8,0.75,8.2,132.1,342.45,0.0,1.45,2.3,0.964,0.058,0.263,0.044,9.987,0.35,0.526,0.219,2.395,female,pop
9,Taylor Swift,5.15,0.45,1.65,0.0,38.75,0.35,0.95,0.9,8.8,154.05,437.1,0.15,2.15,2.55,1.178,0.103,0.377,0.0,8.865,0.08,0.217,0.206,2.013,female,pop
10,2Pac,4.85,2.75,3.7,0.4,85.05,0.75,1.75,2.0,18.1,285.0,755.5,1.05,1.2,5.2,0.642,0.364,0.49,0.053,11.257,0.099,0.232,0.265,2.396,male,rap
11,A Tribe Called Quest,2.05,2.85,1.9,0.25,68.8,0.4,0.65,3.15,13.75,244.25,601.5,0.6,1.65,4.25,0.341,0.474,0.316,0.042,11.438,0.067,0.108,0.524,2.286,male,rap
12,Eminem,4.55,1.0,4.35,0.25,80.8,1.2,2.2,0.9,19.45,340.75,864.45,0.45,2.2,4.7,0.526,0.116,0.503,0.029,9.347,0.139,0.254,0.104,2.25,male,rap
13,Ice Cube,1.5,3.85,2.85,1.05,73.45,0.8,0.8,0.4,11.7,251.55,614.6,0.5,1.45,3.9,0.244,0.626,0.464,0.171,11.951,0.13,0.13,0.065,1.904,male,rap
14,JAY-Z,4.0,2.25,1.95,0.4,53.3,0.5,2.25,1.1,13.35,253.75,597.85,0.55,1.7,5.5,0.669,0.376,0.326,0.067,8.915,0.084,0.376,0.184,2.233,male,rap
15,Kanye West,3.85,4.0,1.3,0.35,67.75,0.9,0.3,1.1,15.6,229.45,615.2,1.1,5.4,12.6,0.626,0.65,0.211,0.057,11.013,0.146,0.049,0.179,2.536,male,rap
16,Kendrick Lamar,5.3,4.0,6.75,0.65,79.95,0.9,1.6,1.35,16.3,312.15,861.8,0.4,2.55,5.6,0.615,0.464,0.783,0.075,9.277,0.104,0.186,0.157,1.891,male,rap
17,MF DOOM,1.55,2.6,2.2,0.3,79.45,0.55,1.25,1.05,9.05,311.5,560.25,0.45,1.0,1.6,0.277,0.464,0.393,0.054,14.181,0.098,0.223,0.187,1.615,male,rap
18,Nas,5.35,2.9,3.8,0.95,77.7,3.0,0.85,0.8,15.55,318.2,704.45,0.5,1.3,4.7,0.759,0.412,0.539,0.135,11.03,0.426,0.121,0.114,2.207,male,rap
19,Yasiin Bey,5.6,4.2,1.8,0.05,84.35,0.55,1.15,1.7,15.65,305.25,709.05,0.35,1.35,2.45,0.79,0.592,0.254,0.007,11.896,0.078,0.162,0.24,2.207,male,rap
20,Black Sabbath,1.9,0.15,0.7,0.05,19.75,0.3,0.6,0.65,4.6,93.95,172.9,0.0,1.05,3.95,1.099,0.087,0.405,0.029,11.423,0.174,0.347,0.376,2.66,male,rock
21,Deep Purple,2.6,0.35,0.55,0.1,26.1,0.05,0.75,0.5,6.75,80.7,194.6,0.0,1.2,4.2,1.336,0.18,0.283,0.051,13.412,0.026,0.385,0.257,3.469,male,rock
22,Foo Fighters,1.45,0.0,0.35,0.0,32.75,0.3,0.65,0.65,6.45,78.3,275.8,0.0,1.5,3.8,0.526,0.0,0.127,0.0,11.875,0.109,0.236,0.236,2.339,male,rock
23,Fugazi,0.0,0.5,1.05,0.0,19.5,0.15,0.05,0.6,6.9,70.6,185.75,0.0,1.75,1.15,0.0,0.269,0.565,0.0,10.498,0.081,0.027,0.323,3.715,male,rock
24,Led Zeppelin,7.7,0.4,0.05,0.0,26.85,0.3,0.8,0.9,7.25,107.15,250.6,0.0,1.0,2.75,3.073,0.16,0.02,0.0,10.714,0.12,0.319,0.359,2.893,male,rock
