,Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent,gender,genre
0,Aaliyah,237,30,20,0,643,6,28,21,276,2375,9575,10,26,56,2.475,0.313,0.209,0.0,6.715,0.063,0.292,0.219,2.883,female,pop
1,Beyoncé,192,27,8,0,957,53,9,16,175,3027,9922,6,57,127,1.935,0.272,0.081,0.0,9.645,0.534,0.091,0.161,1.764,female,pop
2,Britney Spears,153,0,19,0,755,18,19,7,193,2218,8162,2,31,66,1.875,0.0,0.233,0.0,9.25,0.221,0.233,0.086,2.365,female,pop
3,Carly Rae Jepsen,197,13,30,0,799,9,3,15,190,1963,8276,0,29,82,2.38,0.157,0.362,0.0,9.654,0.109,0.036,0.181,2.296,female,pop
4,Charli XCX,202,18,3,1,694,23,16,8,163,2647,11023,19,37,104,1.833,0.163,0.027,0.009,6.296,0.209,0.145,0.073,1.479,female,pop
5,Dua Lipa,133,12,4,5,669,27,4,19,250,2012,7747,1,42,84,1.717,0.155,0.052,0.065,8.636,0.349,0.052,0.245,3.227,female,pop
6,Madonna,108,5,8,0,693,58,13,16,170,2302,8170,6,40,58,1.322,0.061,0.098,0.0,8.482,0.71,0.159,0.196,2.081,female,pop
7,Michael Jackson,179,15,15,0,1154,10,11,20,384,2630,10766,0,35,32,1.663,0.139,0.139,0.0,10.719,0.093,0.102,0.186,3.567,male,pop
8,Olivia Rodrigo,66,4,18,3,684,24,36,15,164,2642,6849,0,29,46,0.964,0.058,0.263,0.044,9.987,0.35,0.526,0.219,2.395,female,pop
9,Taylor Swift,103,9,33,0,775,7,19,18,176,3081,8742,3,43,51,1.178,0.103,0.377,0.0,8.865,0.08,0.217,0.206,2.013,female,pop
10,2Pac,97,55,74,8,1701,15,35,40,362,5700,15110,21,24,104,0.642,0.364,0.49,0.053,11.257,0.099,0.232,0.265,2.396,male,rap
11,A Tribe Called Quest,41,57,38,5,1376,8,13,63,275,4885,12030,12,33,85,0.341,0.474,0.316,0.042,11.438,0.067,0.108,0.524,2.286,male,rap
12,Eminem,91,20,87,5,1616,24,44,18,389,6815,17289,9,44,94,0.526,0.116,0.503,0.029,9.347,0.139,0.254,0.104,2.25,male,rap
13,Ice Cube,30,77,57,21,1469,16,16,8,234,5031,12292,10,29,78,0.244,0.626,0.464,0.171,11.951,0.13,0.13,0.065,1.904,male,rap
14,JAY-Z,80,45,39,8,1066,10,45,22,267,5075,11957,11,34,110,0.669,0.376,0.326,0.067,8.915,0.084,0.376,0.184,2.233,male,rap
15,Kanye West,77,80,26,7,1355,18,6,22,312,4589,12304,22,108,252,0.626,0.65,0.211,0.057,11.013,0.146,0.049,0.179,2.536,male,rap
16,Kendrick Lamar,106,80,135,13,1599,18,32,27,326,6243,17236,8,51,112,0.615,0.464,0.783,0.075,9.277,0.104,0.186,0.157,1.891,male,rap
17,MF DOOM,31,52,44,6,1589,11,25,21,181,6230,11205,9,20,32,0.277,0.464,0.393,0.054,14.181,0.098,0.223,0.187,1.615,male,rap
18,Nas,107,58,76,19,1554,60,17,16,311,6364,14089,10,26,94,0.759,0.412,0.539,0.135,11.03,0.426,0.121,0.114,2.207,male,rap
19,Yasiin Bey,112,84,36,1,1687,11,23,34,313,6105,14181,7,27,49,0.79,0.592,0.254,0.007,11.896,0.078,0.162,0.24,2.207,male,rap
20,Black Sabbath,38,3,14,1,395,6,12,13,92,1879,3458,0,21,79,1.099,0.087,0.405,0.029,11.423,0.174,0.347,0.376,2.66,male,rock
21,Deep Purple,52,7,11,2,522,1,15,10,135,1614,3892,0,24,84,1.336,0.18,0.283,0.051,13.412,0.026,0.385,0.257,3.469,male,rock
22,Foo Fighters,29,0,7,0,655,6,13,13,129,1566,5516,0,30,76,0.526,0.0,0.127,0.0,11.875,0.109,0.236,0.236,2.339,male,rock
23,Fugazi,0,10,21,0,390,3,1,12,138,1412,3715,0,35,23,0.0,0.269,0.565,0.0,10.498,0.081,0.027,0.323,3.715,male,rock
24,Led Zeppelin,154,8,1,0,537,6,16,18,145,2143,5012,0,20,55,3.073,0.16,0.02,0.0,10.714,0.12,0.319,0.359,2.893,male,rock
25,Nirvana,18,0,33,0,513,3,16,6,133,1367,4508,0,22,23,0.399,0.0,0.732,0.0,11.38,0.067,0.355,0.133,2.95,male,rock
26,Queens of the Stone Age,34,3,4,13,345,1,7,9,103,1852,3999,5,53,61,0.85,0.075,0.1,0.325,8.627,0.025,0.175,0.225,2.576,male,rock
27,The Rolling Stones,41,4,31,2,503,4,8,9,133,1794,4965,0,26,41,0.826,0.081,0.624,0.04,10.131,0.081,0.161,0.181,2.679,male,rock
28,The Strokes,21,2,11,0,454,2,5,12,168,2122,4818,0,22,65,0.436,0.042,0.228,0.0,9.423,0.042,0.104,0.249,3.487,male,rock
29,The White Stripes,55,7,10,0,697,5,11,7,165,2165,5165,1,20,23,1.065,0.136,0.194,0.0,13.495,0.097,0.213,0.136,3.195,male,rock
30,Al Green,212,1,1,0,452,6,21,15,98,1809,4932,0,24,36,4.298,0.02,0.02,0.0,9.165,0.122,0.426,0.304,1.987,male,soul
31,Aretha Franklin,184,5,4,0,462,7,60,44,108,1754,6151,1,32,32,2.991,0.081,0.065,0.0,7.511,0.114,0.975,0.715,1.756,female,soul
32,Clarence Carter,122,7,3,0,579,4,9,11,147,2213,5479,0,18,35,2.227,0.128,0.055,0.0,10.568,0.073,0.164,0.201,2.683,male,soul
33,Curtis Mayfield,66,10,11,2,773,4,35,12,145,2541,6227,0,23,23,1.06,0.161,0.177,0.032,12.414,0.064,0.562,0.193,2.329,male,soul
34,Marvin Gaye,289,7,1,0,583,4,19,13,139,2222,6406,0,23,41,4.511,0.109,0.016,0.0,9.101,0.062,0.297,0.203,2.17,male,soul
35,Minnie Riperton,144,1,1,1,360,0,24,25,80,1529,4444,4,33,45,3.24,0.023,0.023,0.023,8.101,0.0,0.54,0.563,1.8,female,soul
