,Artist,manual_love_count,manual_swears_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,decade
0,21 Savage,2.55,20.8,8.4,7.45,0.8,73.85,0.15,1.9,0.5,12.7,246.3,686.65,0.55,2.15,4.9,2020s
1,2Pac,4.9,13.0,2.9,4.25,0.85,84.45,0.8,1.6,2.05,17.1,282.8,745.25,1.0,1.15,5.2,1990s
2,50 Cent,4.4,15.55,1.8,3.95,0.75,73.45,0.5,0.75,0.85,16.95,250.8,688.8,0.45,1.25,3.5,2000s
3,A Tribe Called Quest,2.05,5.2,2.85,2.6,0.55,68.8,0.4,0.65,3.15,13.75,244.25,601.5,0.6,1.65,4.25,1990s
4,Aesop Rock,1.15,5.85,1.8,2.3,0.3,79.55,0.5,1.25,2.4,10.0,311.55,591.45,0.05,1.0,1.25,2000s
5,Beastie Boys,0.7,4.7,3.6,3.5,0.65,61.9,0.0,0.35,0.5,11.55,226.0,506.05,0.15,2.1,3.6,1980s
6,Big Daddy Kane,4.6,3.55,1.55,1.9,0.15,61.4,0.4,0.65,1.4,11.65,270.2,582.0,0.7,1.0,1.85,1980s
7,Clipse,2.65,11.6,7.05,2.7,0.7,75.5,2.0,0.85,1.35,14.1,286.35,665.9,1.0,1.05,4.1,2000s
8,Danny Brown,0.8,12.05,1.75,2.2,4.45,49.7,0.6,0.8,0.4,9.8,218.1,516.65,0.3,1.0,2.3,2010s
9,De La Soul,2.5,2.6,1.65,1.55,0.3,77.3,0.75,1.2,1.45,16.0,294.05,658.7,0.8,2.0,6.4,1980s
10,Deltron 3030,1.0,2.95,0.45,1.0,0.3,42.75,0.2,0.65,0.75,7.25,218.0,418.2,0.3,1.0,2.3,2000s
11,Denzel Curry,0.5,13.35,2.15,5.85,0.7,60.45,0.85,0.45,0.55,10.55,216.4,588.35,0.6,1.85,4.25,2010s
12,Dr. Dre,2.2,24.65,2.6,5.3,0.7,80.7,0.7,0.55,0.65,16.9,272.75,693.25,2.1,1.85,5.35,1990s
13,Drake,3.85,12.85,2.8,1.0,0.1,64.9,0.35,0.95,0.85,14.0,205.5,588.85,0.45,2.75,7.2,2020s
14,Earl Sweatshirt,0.9,15.65,1.75,2.9,1.4,59.4,0.9,0.85,0.45,8.0,263.0,509.45,0.65,1.1,3.0,2010s
15,Eazy-E,1.55,34.7,1.5,3.8,0.35,84.8,0.25,0.9,1.45,18.95,274.55,736.55,0.95,1.45,4.0,1980s
16,Eminem,4.55,14.75,1.0,5.1,0.4,80.8,1.2,2.2,0.9,19.45,340.75,864.4,0.45,2.2,4.7,2000s
17,Freddie Gibbs,2.35,19.7,4.2,5.05,1.65,73.65,0.2,0.55,0.75,12.55,265.65,682.6,0.4,2.05,2.7,2010s
18,Gang Starr,3.1,8.05,4.45,6.3,0.25,68.9,1.05,0.8,1.35,13.05,274.95,590.6,0.45,1.9,3.55,1980s
19,J. Cole,5.2,12.25,2.3,1.8,0.5,80.1,0.75,2.05,3.35,20.6,261.1,767.75,0.25,2.0,3.3,2020s
