,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,decade
20,Beastie Boys,Intergalactic,Intergalactic by Beastie Boys,1998-05-12,1998.0,5.0,12.0,316958,https://genius.com/Beastie-boys-intergalactic-lyrics,0,2,4," intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension  well now dont you tell me to smile you stick around ill make it worth your while while got numbers beyond what you can dial dial maybe its because im so versatile style profile  i said it always brings me back when i hear ""ooh child"" from the hudson river out to the nile nile i run the marathons til the very last mile  well if you battle me i will revile people always saying my style is wild youve got gall youve got guile guile to step to me i’m a rapophile you might also like if you wanna battle youre in denial coming from uranus to check my style go ahead put my rhymes on trial trail cast you off into exile  intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic  jazz and awol thats our team step inside the party disrupt the whole scene when it comes to beats well im a fiend i like my sugar with coffee and cream  well i gotta keep it going keep it going full steam too sweet to be sour too nice to be mean well on the tough guy style im not too keen trying to change the world i will plot and scheme  mario c likes to keep it clean clean goin to shine like a sunbeam beam keep on rapping cause thats my dream dream got an a from moe dee for sticking to themes now when it comes to envy yall is green jealous of the rhyme and the rhyme routine tine another dimension new galaxy intergalactic planetary  intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic  were from the family tree of old school hiphop kick off your shoes and relax your socks socks the rhymes will spread just like a pox cause the music is live like an electric shock shock  i am known to do the wop wop also known for the flintstone flop flop tammy d getting biz on the crop crop beastie boys known to let the beat “mmm drrrop” do it now when i wrote graffiti my name was slop slop if my raps soup my beats is stock stock step from the table when i start to chop chop im the lumberjack ooh dj adrock  if you try to knock me youll get mocked mocked ill stir fry you in my wok wok your kneesll start shaking and your fingers pop pop like a pinch on the neck of mr spock spock  intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic intergalactic planetary planetary intergalactic another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension another dimension  do it",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
21,Beastie Boys,Sabotage,Sabotage by Beastie Boys,1994-01-28,1994.0,1.0,28.0,237601,https://genius.com/Beastie-boys-sabotage-lyrics,0,2,3, i cant stand it i know you planned it ima set it straight this watergate i cant stand rocking when im in here cause your crystal ball aint so crystal clear so while you sit back and wonder why i got this fucking thorn in my side oh my god its a mirage im telling yall its sabotage  so so so so listen up cause you cant say nothing youll shut me down with a push of your button but yo im out and im gone ill tell you now i keep it on and on  cause what you see you might not get and we can bet so dont you get souped yet scheming on a thing thats a mirage im trying to tell you now its sabotage  why our backs are now against the wall you might also like listen all yall its a sabotage listen all yall its a sabotage listen all yall its a sabotage listen all yall its a sabotage  i cant stand it i know you planned it ima set it straight this watergate but i cant stand rocking when im in this place because i feel disgrace because youre all in my face but make no mistakes and switch up my channel im buddy rich when i fly off the handle what could it be its a mirage youre scheming on a thing thats sabotage,https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
22,Beastie Boys,Paul Revere,Paul Revere by Beastie Boys,1986-11-15,1986.0,11.0,15.0,194311,https://genius.com/Beastie-boys-paul-revere-lyrics,0,2,4,"  now heres a little story ive got to tell about three bad brothers you know so well it started way back in history with adrock mca and me mike d been had a little horsey named paul revere just me and my horsey and a quart of beer riding across the land kicking up sand sheriffs posses on my tail cause im in demand one lonely beastie i be all by myself without nobody the sun is beating down on my baseball hat the air is getting hot the beer is getting flat looking for a girl i ran into a guy his name was mca i said ""howdy"" he said ""hi""  he told a little story that sounded wellrehearsed four days on the run and that hes dying of thirst the brew was in my hand and he was on my tip his voice was hoarse his throat was dry he asked me for a sip he said ""can i get some"" i said ""you cant get none"" had a chance to run pulled out his shotgun quick on the draw i thought id be dead he put the gun to my head and this is what he said ""now my name is mca ive got a license to kill yeah i think you know what time it is its time to get ill yeah now what do we have here an outlaw and his beer uhhuh i run this land you understand ive made myself clear"" we stepped into the wind he had a gun i had a grin you think this storys over but its ready to begin you might also like now i got the gun you got the brew you got two choices of what you can do its not a tough decision as you can see i can blow you away or you can ride with me i said ""ill ride with you if you can get me to the border the sheriffs after me for what i did to his daughter"" i did it like this i did it like that i did it with a wiffleball bat so im on the run the cop got my gun and right about now its time to have some fun the king adrock that is my name and i know the fly spot where they got the champagne we rode for 6 hours then we hit the spot the beat was abumping and the girlies was hot this dude was staring like he knows who we are we took the empty spot next to him at the bar mca said ""yippie yo you know this kid"" i said i didnt but i know he did the kid said ""get ready cause this aint funny my names mike d and im about to get money"" pulled out the jammy  i aimed it at the sky he yelled ""stick em up"" and let two fly hands went up and people hit the floor he wasted two kids that ran for the door ""im mike d and i get respect your cash and your jewelry is what i expect"" mca was with it and hes my ace so i grabbed the piano player and i punched him in the face piano players out the music stopped his boy had beef and he got dropped mike d grabbed the money mca snatched the gold i grabbed two girlies and a beer thats cold",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
23,Beastie Boys,So What’cha Want,So What'cha Want by Beastie Boys,1992-06-02,1992.0,6.0,2.0,177887,https://genius.com/Beastie-boys-so-whatcha-want-lyrics,0,2,3," to mario c—you cant front on that  well just plug me in just like i was eddie harris youre eating crazy cheese like you would think im from paris you know i get fly you think i get high you know that im gone and ima tell you all why  so tell me who are you dissing maybe im missing the reason that youre smiling or wyling so listen in my head i just want to take em down imagination set loose and im gonna shake em down  let it flow like a mudslide when i get on i like to ride and glide ive got depth of perception in my text yall i get props at my mention cause i vex yall  so whatcha whatcha whatcha want whatcha want i get so funny with my money that you flaunt i said ""whered you get your information from huh you think that you can front when revelation comes"" you might also like yeah you cant front on that  well they call me mike d the everloving man im like spoonie gee whoo ooh im the metropolitician yeyeyeyeah you scream and you holler about my chevy impala but the sweat is getting wet around the ring around your collar  but like a dream im flowing without no stopping sweeter than a cherry pie with reddi whip topping going from mic to mic kickin it wall to wall well ill be calling out to people like a casting call  ah well its wack when youre jacked in the back of a ride with your know with your flow when youre out getting by believe me what you see is what you get and you see me im coming off as you can bet  well i think im losing my mind this time this time im losing my mind thats right i said i think im losing my mind this time this time im losing my mind yeah you cant front on that  but little do you know about something that i talk about im tired of driving its due time that i walkabout but in the meantime im wise to the demise ive got eyes in the back of my head so i realize  well im dr spock im here to rock yall i want you off the wall if youre playing the wall i said whatcha whatcha whatcha want whatcha want i said whatcha whatcha whatcha want whatcha want  yall suckers write me checks and then they bounce so i reach into my pocket for the fresh amount see im the long leaner victor the cleaner im the illest motherfucker from here to gardena  well im as cool as a cucumber in a bowl of hot sauce youve got the rhyme and reason but got no cause but if youre hot to trot you think youre slicker than grease ive got news for you crews youll be sucking like a leech yeah you cant front on that  so whatcha whatcha whatcha want whatcha want so whatcha whatcha whatcha want whatcha want i said so whatcha whatcha whatcha want whatcha want i said so whatcha whatcha whatcha want whatcha want",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
24,Beastie Boys,No Sleep Till Brooklyn,No Sleep Till Brooklyn by Beastie Boys,1986-11-15,1986.0,11.0,15.0,172585,https://genius.com/Beastie-boys-no-sleep-till-brooklyn-lyrics,0,2,4, no sleep til brooklyn  foot on the pedal never ever false metal engine running hotter than a boiling kettle my job aint a job its a damn good time city to city im running my rhymes on location touring around the nation beastie boys always on vacation itchy trigger finger but a stable turntable i do what i do best because im illing and able aint no faking your money im taking going coast to coast watch all the girlies shaking while youre at the job working ninetofive the beastie boys at the garden cold kicking it live  no sleep til another plane another train another bottle in the brain another girl another fight another drive all night  our managers crazy he always smokes dust hes got his own room at the back of the bus tour around the world you rock around the clock plane to hotel girls on the jock were trashing hotels like its going out of style getting paid along the way cause its worth your while four on the floor adrocks out the door mcas in the back cause hes skeezing with a whore we got a safe in the trunk with money in a stack with dice in the front and brooklyns in the back white boys got more rhymes you might also like no sleep til no sleep til brooklyn no sleep til brooklyn  aint seen the light since we started this band so mca get on the mic my man  born and bred in brooklyn usa they call me adam yauch but im mca like a lemon to a lime a lime to a lemon i sip the def ale with all the fly women limos arenas and tv shows autographed pictures and classy hoes step off holmes get out of my way taxing little girlies from here to la  waking up before i get to sleep cause ill be rocking this party eight days a week  no sleep til no sleep til brooklyn no sleep til brooklyn no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn yeah  no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn brooklyn no no sleep sleep til brooklyn brooklyn,https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
25,Beastie Boys,Fight for Your Right,Fight for Your Right by Beastie Boys,1986-11-15,1986.0,11.0,15.0,158362,https://genius.com/Beastie-boys-fight-for-your-right-lyrics,0,2,4, yeah kick it  you wake up late for school man you dont wanna go you ask your mom “please” but she still says “no” you missed two classes and no homework but your teacher preaches class like youre some kind of *jerk*  you gotta fight for your right to party  your pop caught you smoking and he said “no way” that hypocrite smokes two packs a day man living at home is such a drag now your mom threw away your best porno mag busted  you gotta fight for your right to party you gotta fight   dont step out of this house if thats the clothes youre gonna wear ill kick you out of my home if you cut that hair your mom busted in and said “whats that noise” aw mom youre just jealous its the beastie boys you might also like you gotta fight for your right to party you gotta fight for your right to party  party party,https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
26,Beastie Boys,The New Style,The New Style by Beastie Boys (Ft. DJ Hurricane),1986-11-06,1986.0,11.0,6.0,153109,https://genius.com/Beastie-boys-the-new-style-lyrics,1,2,4," and on the cool checkin centerstage on the mic and we puttin it on wax its the new style  four and three and two and one what up and when im on the mic—the suckers run word down with adrock and mike d and you aint and i got more juice than picasso got paint got rhymes that are rough and rhymes that are slick im not surprised youre on my dick mike d beastie what up mike d aw—yeah—thats me i got franks and pork and beans always bust the new routines i get it i got it—i know its good the rhymes i write—you wish you would im never in training my voice is not straining people always biting and im sick of complaining so i went into the locker room during classes went into your locker and i smashed your glasses youre from secaucus—im from manhattan youre jealous of me because your girlfriend is cattin you might also like ""there it is"" kick it  father to many—married to none and in case youre unaware i carry a gun word stepped into the party the place was overpacked saw the kid that dissed my homeboy shot him in the back man i had to get a beeper cause my phone is tapped you better keep your mouth shut cause im fully strapped i got money in the bank i can still get high thats why your girlfriend thinks that im so fly ive got money and juice twin sisters in my bed their father had envy so i shot him in the head if i played guitar id be jimmy page the girlies i like are underage shh check it girls with boyfriends are the kinds i like ill steal your honey like i stole your bike my father hes jealous cause im making that green what up ive got a list of girlies numbers from the places ive been  ""there it is"" kick it you wanna know why because im— october 31st that is my date of birth i got to the party you know what i did the smurf taxin all the females from coast to coast and when i get my fill im chilly most we ragtag girlies back at the hotel and then we all switch places when i ring the bell i chill at white castle cause its the best but im fly at fatburger when—when hes—im way out west check it check king ad—whammy all the fine ladies theyre on my jammy went to the prom—wore the fly blue rental got six girlies in my lincoln continental i met a girl at the party and she started to flirt i told her some rhymes and she pulled up her skirt check it spent some bank got a high powered jumbo rolled up a wooly—whatd he do—and i watched columbo  let me clear my throat kick it over here baby pop and let all the fly skimmies feel the beat— mmm—drop  coolin on the corner on a hot summers  day just me my posse and—mca a lot of beer a lot of girls and a lot of cursin 22 automatic on my person got my hand in my pocket and my fingers on the trigger my posses gettin big—and my posses gettin bigger some voices got treble—some voices got bass we got the kind of voices that are in your face like the bun to the burger—and like the burger to the bun like the cherry—to the apple—to the peach—to the plum im the king of the ave—and im the king of the block well im mca—and im the king adrock well im mike d—i got all the fly juice on the checkin at the party on the forty deuce walking down the block with the fresh fly threads beastie boys—fly the biggest heads ho ho ho ho ho ho ho ho ho ho ho brooklyn ho ho ho ho ho ho",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
27,Beastie Boys,Sure Shot,Sure Shot by Beastie Boys,1994-05-31,1994.0,5.0,31.0,134433,https://genius.com/Beastie-boys-sure-shot-lyrics,0,4,6, i love you  cause you cant you wont and you dont stop cause you cant you wont and you dont stop well you cant you wont and you dont stop mike d come and rock the sure shot  ive got the brand new doodoo guaranteed like yoohoo im on like dr john yeah mr zu zu im a newlywed not a divorcee yeah and everything i do is funky like lee dorsey well its the taking of the pelham 1 2 3 if you want a doodoo rhyme then come see me ive got the savoir faire with the unique rhymin i keep it on and on its never quitting time and strictly handheld is the style i go never rock the mic with the pantyhose i strap on my ear goggles and im ready to go ‘cause at the boards is the man they call the mario you pull up at the function and you know i kojak to all the party people that are on my bozac ive got more action than my man john woo and ive got mad hits like i was rod carew yeah you might also like cause you cant you wont and you dont stop because you cant you wont and you dont stop you know you cant you wont and you dont stop adrock come and rock the sure shot  hurra hurra cane will cross fade on your ass and bust your eardrums listen everybody cause im shifting gears im fresh like dougie when i get my specs and on the microphone i come correct timing like a clock when i rock the hiphop top notch is my stock on the soapbox ive got more rhymes than ive got gray hairs and thats a lot because ive got my share oohh weee ive got a hole in my head and theres no one to fix it i gotta straighten my thoughts im thinking too much yeah sick shit everyone just takes and takes takes takes takes ill have to step back i gotta contemplate well im like lee perry im very on rock the microphone and then im gone im like vaughn bode im a cheech wizard never quittin so wont you listen ah ah ah ah ah ah yes indeed its fun time  cause you cant you wont and you dont stop cause you cant you wont and you dont stop well you cant you wont and you dont stop mca come and rock the sure shot  i want to say a little something thats long overdue the disrespect to women has got to be through to all the mothers and the sisters and the wives and friends i want to offer my love and respect to the end well you say im twentysomething then i should be slacking but im working harder than ever and you could call it macking so im supposed to sit upon my couch just watching my tv im still listening to wax im not using the cd well im that kid in the corner all fucked up and i wanna so im gonna yeah take a piece of the pie why not im not quittin think ima change up my style just to fit in i keep my underwear up with a piece of elastic i use a bullshit mic thats made out of plastic to send my rhymes out to all the nations like ma bell i got the ill communication cause you cant you wont and you dont stop cause you cant you wont and you dont stop well you cant you wont and you dont stop keep on and rockin the sure shot  bboys bgirls ticktock tickticktocktock,https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
28,Beastie Boys,Ch-Check It Out,Ch-Check It Out by Beastie Boys,,2004.0,3.0,,128658,https://genius.com/Beastie-boys-ch-check-it-out-lyrics,0,1,1," oh whatchyouwhat are you sayin  all you trekkies and tv addicts dont mean to diss dont mean to bring static all you klingons in the fucking house grab your backstreet friend and get loud blowin doors off hinges ill grab you with the pinchers and no i didnt retire ill snatch you up with a needle nose pliers  like mutual of omaha got the ill boat youve never seen before glidin in the glades and like lorne greene you know i get paid like caprese and with the basil not goofy like darrin or hazel im a motherfuckin nick at nite with classics rerunning that you know all right  now remain calm no alarm cause my farm aint fat so whats up with that ive got friends and family that i respect when i think im too good they put me in check so believe when i say im no better than you except when i rap so i guess it aint true like that yall and you just dont stop guaranteed to make your body rock you might also like checkchcheckcheckcheckchcheck it out whatwhawhatwhatwhats it all about workwaworkworkworkwawork it out lets turn this muthafucking party out  i said ""doc whats the condition im a man thats on a mission"" he said ""son youd better listen stuck in your ass is an electrician"" like a scientist mmm when im applying this method of controlling my mind like einstein and the rapping duke combined  now hey baby bubba now whats the deal i didnt know you go for that mass appeal some call it salugi some hot potato i stole your mic but you wont see it later cause i work magic like a magician i add up the mathematician im a bank cashier engineer i wear cotton and i dont wear sheer shazam and abracadabra in the whip im gonna cruise past ya yo money dont chump yourself put that shit back on the shelf light rays blazing youre out of phase and my crews amazing were working on the record yo so just stay patient  checkchcheckcheckcheckchcheck it out whatwhawhatwhatwhats it all about workwaworkworkworkwawork it out lets turn this motherfucking party out checkchcheckcheckcheckchcheck it out checkchcheckcheckcheckchcheck it out checkchcheckcheckcheckchcheck it out checkchcheckcheckcheckchcheck it out  now i go by the name of the king adrock i dont wear a cup nor a jock i bring the shit thats beyond bizarre like miss piggy who moi i am the one with the clientele you say ""adrock you rock so well"" ive got class like pink champale mca grab the mic before the mic goes stale dont test me they cant arrest me ill fake right crossover and shoot lefty you look upset yo calm down you look like cable guy dunked off of your crown i flow like smoke out a chimney you never been me you wanna rap but what youre making aint hiphop b  now get your clothes right out the dryer put armor all up on your tire sport that fresssssh attire tonight we goin out set the town on fire set the town ablaze gonna stun and amaze ready to throw a craze make your granny shake her head and say ""those were the days""  now checkchcheckcheckcheckchcheck it out whatwhawhatwhatwhats it all about workwaworkworkworkwawork it out lets turn this motherfucking party out",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
29,Beastie Boys,Brass Monkey,Brass Monkey by Beastie Boys,1986-11-15,1986.0,11.0,15.0,126069,https://genius.com/Beastie-boys-brass-monkey-lyrics,0,2,4," brass monkey that funky monkey brass monkey junkie that funky monkey brass  got this dance thats more than real drink brass monkey heres how you feel you put your left leg down your right leg up tilt your head back lets finish the cup mca with the bottle d rocks the can adrock gets nice with charlie chan were offered moët we dont mind chivas wherever we go we bring the monkey with us adrock drinks three mike d is d double r foots the bill most definitely i drink brass monkey and i rock well i got a castle in brooklyn thats where i dwell  brass monkey that funky monkey brass monkey junkie that funky monkey brass you might also like because cause i drink it anytime and any place when its time to get ill i pour it on my face monkey tastes def when you pour it on ice come on yall its time to get nice coolin by the lockers getting kind of funky me and the crew were drinking brass monkey this girl walked by she gave me the eye i reached in the locker grabbed the spanish fly i put it in the monkey mixed it in a cup went over to the girl ""yo baby whats up"" i offered her a sip sip the girl she gave me lip lip it did begin the stuff wore in and now shes on my tip  brass monkey that funky monkey brass monkey junkie that funky monkey brass  step up to the bar put the girl down she takes a big gulp and slaps it around you take a sip you can do it you get right to it we had a case in the place and we went right through it you got a dry martini you thinking youre cool ill take your place at the bar i smack you off your stool ill down a 40 dog in a single gulp and if you got beef youll get beat to a pulp monkey and parties and reelin and rockin defdef girlsgirls all yall jockin the song and dance keeping you in a trance if you dont buy my record i got my advance i drink it i think it i see it i be it i love brass monkey but i dont give d it we got the bottle you got the cup come on everybody lets get ffffff brass monkey that funky monkey brass monkey junkie that funky monkey brass monkey that funky monkey brass monkey junkie that funky monkey brass monkey",https://images.genius.com/28a945e64fc4b3c0e6ce96486f6e4df3.450x450x1.jpg,1980s
