,Artist,decade,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
Beastie Boys,Beastie Boys,1980s,got bom bombom well ill man egg gonna another kick girl brooklyn monkey bboy freak intergalactic planetary whatcha rhyme mike,got,bom,bombom,well,ill,man,egg,gonna,another,kick,girl,brooklyn,monkey,bboy,freak,intergalactic,planetary,whatcha,rhyme,mike,1.0,0.6486486486486487,0.4864864864864865,0.4774774774774775,0.42342342342342343,0.40540540540540543,0.3333333333333333,0.32432432432432434,0.2972972972972973,0.2972972972972973,0.27927927927927926,0.27927927927927926,0.27927927927927926,0.27927927927927926,0.2702702702702703,0.26126126126126126,0.26126126126126126,0.26126126126126126,0.25225225225225223,0.25225225225225223
Big Daddy Kane,Big Daddy Kane,1980s,aint kane daddy pimpin easy big one say take make man ill come love got work rapper way ya go,aint,kane,daddy,pimpin,easy,big,one,say,take,make,man,ill,come,love,got,work,rapper,way,ya,go,1.0,0.7241379310344828,0.6666666666666666,0.6436781609195402,0.632183908045977,0.6091954022988506,0.6091954022988506,0.5747126436781609,0.5517241379310345,0.5517241379310345,0.5172413793103449,0.5057471264367817,0.4827586206896552,0.45977011494252873,0.39080459770114945,0.39080459770114945,0.3333333333333333,0.3218390804597701,0.3218390804597701,0.2988505747126437
De La Soul,De La Soul,1980s,one two man make got yo plug will time oooh say high soul love better saturday aint ohohoh trip la,one,two,man,make,got,yo,plug,will,time,oooh,say,high,soul,love,better,saturday,aint,ohohoh,trip,la,1.0,0.7252747252747253,0.5824175824175825,0.5714285714285714,0.5604395604395604,0.5604395604395604,0.5274725274725275,0.4945054945054945,0.4835164835164835,0.4835164835164835,0.42857142857142855,0.42857142857142855,0.4065934065934066,0.4065934065934066,0.38461538461538464,0.38461538461538464,0.37362637362637363,0.37362637362637363,0.37362637362637363,0.3626373626373626
Eazy-E,Eazy-E,1980s,nigga eazy em shit wet come motherfucker want bitch real fuck boy yo got ya nut tell g said aint,nigga,eazy,em,shit,wet,come,motherfucker,want,bitch,real,fuck,boy,yo,got,ya,nut,tell,g,said,aint,1.0,0.75,0.5773809523809523,0.5357142857142857,0.47619047619047616,0.4583333333333333,0.44642857142857145,0.4226190476190476,0.3630952380952381,0.3630952380952381,0.35714285714285715,0.35119047619047616,0.34523809523809523,0.3333333333333333,0.30952380952380953,0.30952380952380953,0.30357142857142855,0.2916666666666667,0.26785714285714285,0.25595238095238093
Gang Starr,Gang Starr,1980s,got make man yo diamond wanna shit look right keep nigga time back one money girl us skills good take,got,make,man,yo,diamond,wanna,shit,look,right,keep,nigga,time,back,one,money,girl,us,skills,good,take,1.0,0.7647058823529411,0.7352941176470589,0.7205882352941176,0.5882352941176471,0.5441176470588235,0.5441176470588235,0.5294117647058824,0.5,0.5,0.4852941176470588,0.47058823529411764,0.45588235294117646,0.45588235294117646,0.45588235294117646,0.4264705882352941,0.39705882352941174,0.39705882352941174,0.38235294117647056,0.38235294117647056
N.W.A,N.W.A,1980s,nigga fuck yo bitch shit dick got aint see ass man compton ren say one motherfucker em go police give,nigga,fuck,yo,bitch,shit,dick,got,aint,see,ass,man,compton,ren,say,one,motherfucker,em,go,police,give,1.0,0.88,0.5,0.46,0.41,0.41,0.34,0.32,0.295,0.255,0.245,0.235,0.225,0.215,0.21,0.21,0.205,0.2,0.185,0.175
Public Enemy,Public Enemy,1980s,em go got watch shut come yo one man black power never brother say fight time terminator enemy flavor game,em,go,got,watch,shut,come,yo,one,man,black,power,never,brother,say,fight,time,terminator,enemy,flavor,game,1.0,0.8978102189781022,0.8613138686131386,0.8029197080291971,0.7226277372262774,0.6715328467153284,0.5547445255474452,0.5547445255474452,0.5328467153284672,0.35036496350364965,0.34306569343065696,0.31386861313868614,0.31386861313868614,0.30656934306569344,0.291970802919708,0.2846715328467153,0.26277372262773724,0.24817518248175183,0.24817518248175183,0.24087591240875914
Run–DMC,Run–DMC,1980s,king rock rhyme talk say illin time way never tricky jay run shut sucker much got mary come house said,king,rock,rhyme,talk,say,illin,time,way,never,tricky,jay,run,shut,sucker,much,got,mary,come,house,said,1.0,0.9099099099099099,0.5045045045045045,0.4774774774774775,0.46846846846846846,0.46846846846846846,0.42342342342342343,0.40540540540540543,0.40540540540540543,0.3783783783783784,0.36036036036036034,0.35135135135135137,0.3333333333333333,0.32432432432432434,0.3153153153153153,0.2972972972972973,0.2972972972972973,0.2882882882882883,0.26126126126126126,0.25225225225225223
Slick Rick,Slick Rick,1980s,love said rick hurt girl kid day one back man see got teenage hey time well shit nigga behind bars,love,said,rick,hurt,girl,kid,day,one,back,man,see,got,teenage,hey,time,well,shit,nigga,behind,bars,1.0,0.967741935483871,0.8548387096774194,0.7580645161290323,0.7419354838709677,0.6935483870967742,0.6290322580645161,0.6129032258064516,0.5967741935483871,0.5806451612903226,0.5483870967741935,0.532258064516129,0.532258064516129,0.532258064516129,0.5161290322580645,0.4838709677419355,0.46774193548387094,0.46774193548387094,0.46774193548387094,0.46774193548387094
2Pac,2Pac,1990s,nigga see aint got life go god nothin round way love take never party one ya live world even make,nigga,see,aint,got,life,go,god,nothin,round,way,love,take,never,party,one,ya,live,world,even,make,1.0,0.75,0.7083333333333334,0.5138888888888888,0.4791666666666667,0.4375,0.4166666666666667,0.3888888888888889,0.3888888888888889,0.3819444444444444,0.3333333333333333,0.3055555555555556,0.3055555555555556,0.2986111111111111,0.2847222222222222,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2708333333333333,0.2708333333333333
A Tribe Called Quest,A Tribe Called Quest,1990s,make buggin kid gotta phife come got sound girl go god man yes yo shit please wall time solid check,make,buggin,kid,gotta,phife,come,got,sound,girl,go,god,man,yes,yo,shit,please,wall,time,solid,check,1.0,0.9285714285714286,0.8571428571428571,0.8428571428571429,0.8,0.8,0.7714285714285715,0.7714285714285715,0.6857142857142857,0.6857142857142857,0.6714285714285714,0.6571428571428571,0.6571428571428571,0.6428571428571429,0.6428571428571429,0.6285714285714286,0.6285714285714286,0.6142857142857143,0.5857142857142857,0.5714285714285714
Dr. Dre,Dr. Dre,1990s,nigga got fuck aint shit still one dre wanna bitch back listen murder em hoe time motherfuckin motherfucker bitches doctor,nigga,got,fuck,aint,shit,still,one,dre,wanna,bitch,back,listen,murder,em,hoe,time,motherfuckin,motherfucker,bitches,doctor,1.0,0.7868852459016393,0.7377049180327869,0.6475409836065574,0.6229508196721312,0.5409836065573771,0.5081967213114754,0.5,0.4672131147540984,0.4426229508196721,0.4098360655737705,0.3524590163934426,0.3360655737704918,0.3114754098360656,0.30327868852459017,0.30327868852459017,0.29508196721311475,0.27049180327868855,0.27049180327868855,0.2459016393442623
Mobb Deep,Mobb Deep,1990s,nigga got shit aint back life yo son fuck man make real one word wanna time kid still em thing,nigga,got,shit,aint,back,life,yo,son,fuck,man,make,real,one,word,wanna,time,kid,still,em,thing,1.0,0.8082191780821918,0.7123287671232876,0.5753424657534246,0.4452054794520548,0.4246575342465753,0.3698630136986301,0.3493150684931507,0.3493150684931507,0.3082191780821918,0.3082191780821918,0.2945205479452055,0.2808219178082192,0.273972602739726,0.273972602739726,0.2671232876712329,0.2671232876712329,0.23972602739726026,0.2328767123287671,0.2328767123287671
Nas,Nas,1990s,one nigga nas love world man hate mine life wanna time shit got never new ill yall see go em,one,nigga,nas,love,world,man,hate,mine,life,wanna,time,shit,got,never,new,ill,yall,see,go,em,1.0,0.8306451612903226,0.7016129032258065,0.6854838709677419,0.5483870967741935,0.43548387096774194,0.4274193548387097,0.41935483870967744,0.4112903225806452,0.3951612903225806,0.3790322580645161,0.3790322580645161,0.3709677419354839,0.3548387096774194,0.3467741935483871,0.3387096774193548,0.29838709677419356,0.2903225806451613,0.2903225806451613,0.28225806451612906
OutKast,OutKast,1990s,nigga clean got way love think baby back fresh see make shake aint bitch move right hey wanna time say,nigga,clean,got,way,love,think,baby,back,fresh,see,make,shake,aint,bitch,move,right,hey,wanna,time,say,1.0,0.9736842105263158,0.9342105263157895,0.8289473684210527,0.8026315789473685,0.6842105263157895,0.6578947368421053,0.6578947368421053,0.6447368421052632,0.618421052631579,0.618421052631579,0.6052631578947368,0.5526315789473685,0.5394736842105263,0.5263157894736842,0.5,0.5,0.4868421052631579,0.47368421052631576,0.4605263157894737
The Notorious B.I.G.,The Notorious B.I.G.,1990s,biggie nigga got bitch shit bad motherfucker see aint fuck uh man want bone party yo one big come lets,biggie,nigga,got,bitch,shit,bad,motherfucker,see,aint,fuck,uh,man,want,bone,party,yo,one,big,come,lets,1.0,0.9763313609467456,0.6272189349112426,0.5207100591715976,0.5088757396449705,0.4319526627218935,0.3905325443786982,0.38461538461538464,0.3431952662721893,0.33136094674556216,0.3136094674556213,0.30177514792899407,0.2958579881656805,0.2958579881656805,0.2958579881656805,0.28402366863905326,0.2781065088757396,0.27218934911242604,0.26627218934911245,0.2603550295857988
The Pharcyde,The Pharcyde,1990s,nigga shit theres got sea stop pipe time um keep pack mama please man baby say well gotta yo fish,nigga,shit,theres,got,sea,stop,pipe,time,um,keep,pack,mama,please,man,baby,say,well,gotta,yo,fish,1.0,0.9512195121951219,0.9146341463414634,0.9024390243902439,0.8780487804878049,0.6585365853658537,0.6585365853658537,0.6463414634146342,0.6219512195121951,0.6097560975609756,0.5975609756097561,0.5487804878048781,0.5365853658536586,0.5121951219512195,0.5121951219512195,0.45121951219512196,0.45121951219512196,0.4268292682926829,0.4268292682926829,0.4268292682926829
Yasiin Bey,Yasiin Bey,1990s,got love yall black aint nigga back world say people man rock yo time make go right one place money,got,love,yall,black,aint,nigga,back,world,say,people,man,rock,yo,time,make,go,right,one,place,money,1.0,0.8780487804878049,0.8170731707317073,0.7195121951219512,0.7195121951219512,0.7195121951219512,0.7073170731707317,0.6707317073170732,0.6585365853658537,0.573170731707317,0.573170731707317,0.5487804878048781,0.5121951219512195,0.47560975609756095,0.4634146341463415,0.43902439024390244,0.4146341463414634,0.4146341463414634,0.3902439024390244,0.36585365853658536
50 Cent,50 Cent,2000s,nigga aint got ill man go see bitch come say shit love girl want make time many lil ima life,nigga,aint,got,ill,man,go,see,bitch,come,say,shit,love,girl,want,make,time,many,lil,ima,life,1.0,0.6575342465753424,0.5753424657534246,0.4383561643835616,0.4315068493150685,0.4178082191780822,0.3767123287671233,0.3767123287671233,0.363013698630137,0.363013698630137,0.3424657534246575,0.3150684931506849,0.3150684931506849,0.3082191780821918,0.3013698630136986,0.2945205479452055,0.2602739726027397,0.2602739726027397,0.2534246575342466,0.2465753424657534
